time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Skin Temperature,Day,DF
19:15:41,1,40,nan,nan,-1,-1,-1,-1,nan,02_Mar_2015,
19:15:46,1,40,32,84.5,93,100,97,83,nan,02_Mar_2015,
19:15:51,1,40,32,88.4,93,100,97,83,26,02_Mar_2015,
19:15:56,1,40,32,81.3,93,100,97,83,26,02_Mar_2015,
19:16:01,1,40,28.9,76.2,91,100,95,81,26,02_Mar_2015,
19:16:06,1,40,28.9,74.8,91,100,95,81,26.1,02_Mar_2015,
19:16:11,1,40,28.9,73.5,91,100,95,81,26.1,02_Mar_2015,
19:16:16,1,40,26,74.4,86,100,98,77,26.1,02_Mar_2015,
19:16:21,1,40,26,77,86,100,98,77,26.3,02_Mar_2015,
19:16:26,1,40,26,80.5,86,100,98,77,26.3,02_Mar_2015,
19:16:31,1,40,22.3,79.5,72,100,99,64,26.3,02_Mar_2015,
19:16:36,1,40,22.3,76.9,72,100,99,64,26.3,02_Mar_2015,
19:16:41,1,40,22.3,76.6,72,100,99,64,26.3,02_Mar_2015,
19:16:46,1,40,20.6,71.8,60,100,98,54,26.3,02_Mar_2015,
19:16:51,1,40,20.6,70.7,60,100,98,54,26.4,02_Mar_2015,
19:16:56,1,40,20.6,74.7,60,100,98,54,26.4,02_Mar_2015,
19:17:01,1,40,19.8,75.6,57,100,98,51,26.4,02_Mar_2015,
19:17:06,1,40,19.8,77.3,57,100,98,51,26.4,02_Mar_2015,
19:17:11,1,40,19.8,71.3,57,100,98,51,26.4,02_Mar_2015,
19:17:16,1,40,24.3,73.3,53,100,98,47,26.4,02_Mar_2015,
19:17:21,1,40,24.3,74.7,53,100,98,47,26.5,02_Mar_2015,
19:17:26,1,40,24.3,69,53,100,98,47,26.5,02_Mar_2015,
19:17:31,1,40,25.7,76.8,68,100,98,61,26.5,02_Mar_2015,
19:17:36,1,40,25.7,74.7,68,100,98,61,26.7,02_Mar_2015,
19:17:41,1,40,25.7,70.6,68,100,98,61,26.7,02_Mar_2015,
19:17:46,1,40,24.9,74.5,64,100,98,57,26.7,02_Mar_2015,
