time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Day,DF
17:23:33,2,30,2,N/A,100,78,69,90,03_Feb_2015,
17:23:39,3,50,2,N/A,100,78,69,90,03_Feb_2015,
17:23:44,2,40,9,N/A,100,96,38,90,03_Feb_2015,
17:23:48,2,40,9,N/A,100,96,38,90,03_Feb_2015,
17:23:53,2,40,9,N/A,100,96,38,90,03_Feb_2015,
17:23:59,1,40,20,N/A,78,89,35,70,03_Feb_2015,
17:24:03,2,40,20,N/A,78,89,35,70,03_Feb_2015,
17:24:08,2,40,20,N/A,78,89,35,70,03_Feb_2015,
17:24:14,2,40,30,121.4,90,78,31,81,03_Feb_2015,
17:24:18,2,50,30,119.6,90,78,31,81,03_Feb_2015,
17:24:23,2,40,30,93.8,90,78,31,81,03_Feb_2015,
17:24:29,2,40,37.7,N/A,87,55,33,78,03_Feb_2015,
17:24:33,2,40,37.7,N/A,87,55,33,78,03_Feb_2015,
17:24:39,2,40,37.7,125.9,87,55,33,78,03_Feb_2015,
17:24:44,2,40,42.4,N/A,79,65,38,71,03_Feb_2015,
17:24:48,2,60,42.4,N/A,79,65,38,71,03_Feb_2015,
17:24:53,2,40,42.4,N/A,79,65,38,71,03_Feb_2015,
17:24:59,1,40,40.6,114.8,86,72,34,77,03_Feb_2015,
17:25:03,1,40,40.6,67.6,86,72,34,77,03_Feb_2015,
17:25:08,1,40,40.6,144,86,72,34,77,03_Feb_2015,
17:25:14,1,40,37.5,N/A,82,43,29,73,03_Feb_2015,
17:25:18,1,40,37.5,82.1,82,43,29,73,03_Feb_2015,
17:25:23,1,40,37.5,177.9,82,43,29,73,03_Feb_2015,
17:25:28,1,40,39.2,149.3,79,27,32,71,03_Feb_2015,
17:25:34,1,40,39.2,N/A,79,27,32,71,03_Feb_2015,
17:25:38,2,60,39.2,148,79,27,32,71,03_Feb_2015,
17:25:44,2,50,37.2,178.7,90,67,45,81,03_Feb_2015,
17:25:49,2,40,37.2,120.1,90,67,45,81,03_Feb_2015,
17:25:54,2,40,37.2,141.1,90,67,45,81,03_Feb_2015,
17:25:59,2,40,38,N/A,90,61,36,81,03_Feb_2015,
17:26:03,2,40,38,157.6,90,61,36,81,03_Feb_2015,
17:26:09,1,40,38,142.8,90,61,36,81,03_Feb_2015,
17:26:14,2,50,40,N/A,90,74,44,81,03_Feb_2015,
17:26:19,1,40,40,69,90,74,44,81,03_Feb_2015,
17:26:23,2,40,40,143.4,90,74,44,81,03_Feb_2015,
17:26:29,1,50,40.2,N/A,93,48,35,83,03_Feb_2015,
17:26:34,2,50,40.2,N/A,93,48,35,83,03_Feb_2015,
17:26:39,2,50,40.2,123.5,93,48,35,83,03_Feb_2015,
17:26:44,1,60,36.4,114.8,88,56,36,79,03_Feb_2015,
17:26:48,1,60,36.4,104.7,88,56,36,79,03_Feb_2015,
17:26:54,2,60,36.4,N/A,88,56,36,79,03_Feb_2015,
17:26:59,1,40,33.8,145.1,73,60,42,65,03_Feb_2015,
17:27:04,1,40,33.8,70.2,73,60,42,65,03_Feb_2015,
17:27:09,2,50,33.8,115.2,73,60,42,65,03_Feb_2015,
17:27:14,2,50,29.2,163.5,63,25,35,56,03_Feb_2015,
17:27:19,1,50,29.2,132.9,63,25,35,56,03_Feb_2015,
17:27:24,1,50,29.2,89.3,63,25,35,56,03_Feb_2015,
17:27:29,1,50,32.9,88.8,42,59,59,37,03_Feb_2015,
17:27:33,1,50,32.9,74.5,42,59,59,37,03_Feb_2015,
17:27:39,1,50,32.9,82.9,42,59,59,37,03_Feb_2015,
17:27:44,1,50,31,95,54,67,71,48,03_Feb_2015,
17:27:48,1,50,31,83.7,54,67,71,48,03_Feb_2015,
17:27:54,1,50,31,71,54,67,71,48,03_Feb_2015,
17:27:59,1,50,36,83.5,47,90,85,42,03_Feb_2015,
17:28:03,1,50,36,54.6,47,90,85,42,03_Feb_2015,
17:28:09,1,50,36,67.1,47,90,85,42,03_Feb_2015,
17:28:14,1,50,41.8,68.6,66,100,94,59,03_Feb_2015,
17:28:19,1,50,41.8,40.6,66,100,94,59,03_Feb_2015,
17:28:24,1,50,41.8,68.4,66,100,94,59,03_Feb_2015,
17:28:29,1,50,40,83.5,81,100,95,72,03_Feb_2015,
17:28:34,1,50,40,57.3,81,100,95,72,03_Feb_2015,
17:28:38,1,50,40,119.2,81,100,95,72,03_Feb_2015,
17:28:44,1,50,39.7,64.9,80,85,85,72,03_Feb_2015,
17:28:49,1,50,39.7,N/A,80,85,85,72,03_Feb_2015,
17:28:54,1,50,39.7,66.2,80,85,85,72,03_Feb_2015,
17:28:59,1,50,35.6,69.5,90,100,92,81,03_Feb_2015,
17:29:04,1,50,35.6,70.3,90,100,92,81,03_Feb_2015,
17:29:09,1,50,35.6,81,90,100,92,81,03_Feb_2015,
17:29:14,1,50,28.6,67.2,92,78,85,82,03_Feb_2015,
17:29:19,1,50,28.6,44.4,92,78,85,82,03_Feb_2015,
17:29:23,1,50,28.6,68.3,92,78,85,82,03_Feb_2015,
17:29:29,1,50,25.1,82.4,86,69,81,77,03_Feb_2015,
17:29:34,1,50,25.1,59.1,86,69,81,77,03_Feb_2015,
17:29:39,1,50,25.1,71.1,86,69,81,77,03_Feb_2015,
17:29:44,1,50,28.2,81.4,84,62,77,75,03_Feb_2015,
17:29:49,1,50,28.2,47.9,84,62,77,75,03_Feb_2015,
17:29:54,1,50,28.2,81.1,84,62,77,75,03_Feb_2015,
17:29:59,1,50,30.7,76.8,86,84,85,77,03_Feb_2015,
17:30:04,1,50,30.7,47.9,86,84,85,77,03_Feb_2015,
17:30:09,1,50,30.7,87.5,86,84,85,77,03_Feb_2015,
17:30:14,1,50,29.6,80.2,87,85,84,78,03_Feb_2015,
17:30:19,1,50,29.6,76.3,87,85,84,78,03_Feb_2015,
17:30:24,1,50,29.6,68.2,87,85,84,78,03_Feb_2015,
17:30:29,1,50,25.6,68.1,90,84,84,81,03_Feb_2015,
17:30:34,1,50,25.6,47.2,90,84,84,81,03_Feb_2015,
17:30:39,1,50,25.6,67.3,90,84,84,81,03_Feb_2015,
17:30:44,1,50,28.5,67,81,100,95,72,03_Feb_2015,
17:30:49,1,50,28.5,42.3,81,100,95,72,03_Feb_2015,
17:30:54,1,50,28.5,66.1,81,100,95,72,03_Feb_2015,
17:30:59,1,50,30.9,63.6,90,34,69,81,03_Feb_2015,
17:31:04,1,50,30.9,40.6,90,34,69,81,03_Feb_2015,
17:31:09,1,50,30.9,68.5,90,34,69,81,03_Feb_2015,
17:31:14,1,50,36.7,65.5,88,74,83,79,03_Feb_2015,
17:31:19,1,50,36.7,N/A,88,74,83,79,03_Feb_2015,
17:31:24,1,50,36.7,87.9,88,74,83,79,03_Feb_2015,
17:31:29,1,50,41.3,66.7,86,38,68,77,03_Feb_2015,
17:31:33,1,50,41.3,61.9,86,38,68,77,03_Feb_2015,
17:31:39,1,50,41.3,66,86,38,68,77,03_Feb_2015,
17:31:44,1,50,36.2,66,82,89,86,73,03_Feb_2015,
17:31:49,1,50,36.2,47.6,82,89,86,73,03_Feb_2015,
17:31:54,1,50,36.2,69.2,82,89,86,73,03_Feb_2015,
17:31:59,1,50,30.1,84.3,65,95,90,58,03_Feb_2015,
17:32:04,1,50,30.1,47.4,65,95,90,58,03_Feb_2015,
17:32:09,1,50,30.1,63.4,65,95,90,58,03_Feb_2015,
17:32:14,1,50,25.8,64.5,50,67,83,45,03_Feb_2015,
17:32:19,1,50,25.8,48.2,50,67,83,45,03_Feb_2015,
17:32:24,1,50,25.8,65.9,50,67,83,45,03_Feb_2015,
17:32:29,1,50,28.8,66.2,36,94,94,32,03_Feb_2015,
17:32:34,1,50,28.8,70,36,94,94,32,03_Feb_2015,
17:32:39,1,50,28.8,68.2,36,94,94,32,03_Feb_2015,
17:32:44,1,50,30,88.4,57,85,87,51,03_Feb_2015,
17:32:49,1,50,30,56,57,85,87,51,03_Feb_2015,
17:32:54,1,50,30,66.4,57,85,87,51,03_Feb_2015,
17:32:59,1,50,30.3,77,77,95,92,69,03_Feb_2015,
17:33:04,1,50,30.3,61.4,77,95,92,69,03_Feb_2015,
17:33:09,1,50,30.3,78.7,77,95,92,69,03_Feb_2015,
17:33:14,1,50,34.4,68.7,87,65,80,78,03_Feb_2015,
17:33:19,1,50,34.4,N/A,87,65,80,78,03_Feb_2015,
17:33:24,1,50,34.4,59,87,65,80,78,03_Feb_2015,
17:33:29,1,50,31.2,77.3,94,54,75,84,03_Feb_2015,
17:33:34,1,50,31.2,55,94,54,75,84,03_Feb_2015,
17:33:39,1,50,31.2,67,94,54,75,84,03_Feb_2015,
17:33:44,1,50,28.9,75.1,87,59,77,78,03_Feb_2015,
17:33:49,1,50,28.9,60.2,87,59,77,78,03_Feb_2015,
17:33:54,1,50,28.9,95.9,87,59,77,78,03_Feb_2015,
17:33:59,1,50,35,90.3,86,65,78,77,03_Feb_2015,
17:34:04,1,50,35,61.5,86,65,78,77,03_Feb_2015,
17:34:09,1,50,35,94.7,86,65,78,77,03_Feb_2015,
17:34:14,1,50,38,76.8,89,95,87,80,03_Feb_2015,
17:34:19,1,50,38,93.3,89,95,87,80,03_Feb_2015,
17:34:24,1,50,38,84.3,89,95,87,80,03_Feb_2015,
17:34:29,1,50,36,96,93,96,83,83,03_Feb_2015,
17:34:34,1,50,36,54.3,93,96,83,83,03_Feb_2015,
17:34:39,1,50,36,69.1,93,96,83,83,03_Feb_2015,
17:34:44,1,50,42.4,66.5,95,63,74,85,03_Feb_2015,
17:34:49,1,50,42.4,47.8,95,63,74,85,03_Feb_2015,
17:34:54,1,50,42.4,66.6,95,63,74,85,03_Feb_2015,
17:34:59,1,50,46,83,93,65,82,83,03_Feb_2015,
17:35:04,1,50,46,63,93,65,82,83,03_Feb_2015,
17:35:09,1,50,46,88.7,93,65,82,83,03_Feb_2015,
17:35:14,1,50,44.2,63.8,94,84,87,84,03_Feb_2015,
17:35:19,1,50,44.2,42.9,94,84,87,84,03_Feb_2015,
17:35:24,1,50,44.2,66.7,94,84,87,84,03_Feb_2015,
17:35:29,1,50,44,65.6,91,100,94,81,03_Feb_2015,
17:35:34,1,50,44,44.8,91,100,94,81,03_Feb_2015,
17:35:39,1,50,44,70.3,91,100,94,81,03_Feb_2015,
17:35:44,1,50,43.2,68.4,94,80,88,84,03_Feb_2015,
17:35:49,1,50,43.2,48.5,94,80,88,84,03_Feb_2015,
17:35:54,1,50,43.2,66.3,94,80,88,84,03_Feb_2015,
17:35:59,1,50,37.4,66.7,96,100,97,86,03_Feb_2015,
17:36:04,1,50,37.4,80.1,96,100,97,86,03_Feb_2015,
17:36:09,1,50,37.4,64.6,96,100,97,86,03_Feb_2015,
17:36:14,1,50,37.4,71.4,95,95,94,85,03_Feb_2015,
17:36:19,1,50,37.4,86.5,95,95,94,85,03_Feb_2015,
17:36:24,1,50,37.4,66.3,95,95,94,85,03_Feb_2015,
17:36:29,1,50,38.3,67.6,100,73,83,90,03_Feb_2015,
17:36:34,1,50,38.3,42.3,100,73,83,90,03_Feb_2015,
17:36:39,1,50,38.3,63.8,100,73,83,90,03_Feb_2015,
17:36:44,1,50,39.1,67.9,100,100,95,90,03_Feb_2015,
17:36:49,1,50,39.1,47.8,100,100,95,90,03_Feb_2015,
17:36:54,1,50,39.1,66.4,100,100,95,90,03_Feb_2015,
17:36:59,1,50,34,66.6,100,100,96,90,03_Feb_2015,
17:37:04,1,50,34,N/A,100,100,96,90,03_Feb_2015,
17:37:09,1,50,34,64.4,100,100,96,90,03_Feb_2015,
17:37:14,1,50,29.7,63.3,98,67,83,88,03_Feb_2015,
17:37:19,1,50,29.7,70,98,67,83,88,03_Feb_2015,
17:37:24,1,50,29.7,63.6,98,67,83,88,03_Feb_2015,
17:37:29,1,50,30.2,62.1,90,63,81,81,03_Feb_2015,
17:37:34,1,50,30.2,67.4,90,63,81,81,03_Feb_2015,
17:37:39,1,50,30.2,63.6,90,63,81,81,03_Feb_2015,
17:37:44,1,50,26,67.9,90,65,83,81,03_Feb_2015,
17:37:49,1,50,26,47.8,90,65,83,81,03_Feb_2015,
17:37:54,1,50,26,61.8,90,65,83,81,03_Feb_2015,
17:37:59,1,50,35.2,64.7,89,80,88,80,03_Feb_2015,
17:38:04,1,50,35.2,47.4,89,80,88,80,03_Feb_2015,
17:38:09,1,50,35.2,65.5,89,80,88,80,03_Feb_2015,
17:38:14,1,50,38.9,64.4,95,94,95,85,03_Feb_2015,
17:38:19,1,50,38.9,40.3,95,94,95,85,03_Feb_2015,
17:38:24,1,50,38.9,63.5,95,94,95,85,03_Feb_2015,
17:38:29,1,50,38.5,62.3,98,65,83,88,03_Feb_2015,
17:38:34,1,50,38.5,N/A,98,65,83,88,03_Feb_2015,
17:38:39,1,50,38.5,61.9,98,65,83,88,03_Feb_2015,
17:38:44,1,50,34.9,59.7,98,58,80,88,03_Feb_2015,
17:38:49,1,50,34.9,41.3,98,58,80,88,03_Feb_2015,
17:38:54,1,50,34.9,63,98,58,80,88,03_Feb_2015,
17:38:59,1,50,24.9,59.9,98,58,80,88,03_Feb_2015,
17:39:04,1,50,24.9,N/A,98,58,80,88,03_Feb_2015,
17:39:09,1,50,24.9,63.3,98,58,80,88,03_Feb_2015,
17:39:14,1,50,18.2,61.3,92,93,94,82,03_Feb_2015,
17:39:19,1,50,18.2,53.8,92,93,94,82,03_Feb_2015,
17:39:24,1,50,18.2,59.6,92,93,94,82,03_Feb_2015,
17:39:29,1,50,20.8,59.4,83,80,87,74,03_Feb_2015,
17:39:34,1,50,20.8,43.6,83,80,87,74,03_Feb_2015,
17:39:39,1,50,20.8,64.4,83,80,87,74,03_Feb_2015,
17:39:44,1,50,25,61.8,85,58,78,76,03_Feb_2015,
17:39:49,1,50,25,N/A,85,58,78,76,03_Feb_2015,
17:39:54,1,50,25,64.9,85,58,78,76,03_Feb_2015,
17:39:59,1,50,34,65.6,84,79,88,75,03_Feb_2015,
17:40:04,1,50,34,48.2,84,79,88,75,03_Feb_2015,
17:40:09,1,50,34,58.9,84,79,88,75,03_Feb_2015,
17:40:14,1,50,43,61,89,86,90,80,03_Feb_2015,
17:40:19,1,50,43,N/A,89,86,90,80,03_Feb_2015,
17:40:24,1,50,43,60.8,89,86,90,80,03_Feb_2015,
17:40:29,1,50,39.7,58.6,96,85,91,86,03_Feb_2015,
17:40:34,1,50,39.7,N/A,96,85,91,86,03_Feb_2015,
17:40:39,1,50,39.7,64.5,96,85,91,86,03_Feb_2015,
17:40:44,1,50,35,64.5,95,79,88,85,03_Feb_2015,
17:40:49,1,50,35,45.5,95,79,88,85,03_Feb_2015,
17:40:54,1,50,35,64,95,79,88,85,03_Feb_2015,
17:40:59,1,50,27.4,65,94,60,80,84,03_Feb_2015,
17:41:04,1,50,27.4,75.1,94,60,80,84,03_Feb_2015,
17:41:09,1,50,27.4,60.2,94,60,80,84,03_Feb_2015,
17:41:14,1,50,23.8,63.7,90,100,97,81,03_Feb_2015,
17:41:19,1,50,23.8,43.3,90,100,97,81,03_Feb_2015,
17:41:24,1,50,23.8,64.4,90,100,97,81,03_Feb_2015,
17:41:29,1,50,23.7,63.7,91,67,83,81,03_Feb_2015,
17:41:34,1,50,23.7,46.7,91,67,83,81,03_Feb_2015,
17:41:39,1,50,23.7,65.5,91,67,83,81,03_Feb_2015,
17:41:44,1,50,25.7,69.4,91,60,81,81,03_Feb_2015,
17:41:49,1,50,25.7,41,91,60,81,81,03_Feb_2015,
17:41:54,1,50,25.7,63.8,91,60,81,81,03_Feb_2015,
17:41:59,1,50,23.5,65.3,96,58,80,86,03_Feb_2015,
17:42:04,1,50,23.5,40.6,96,58,80,86,03_Feb_2015,
17:42:09,1,50,23.5,65.5,96,58,80,86,03_Feb_2015,
17:42:14,1,50,19.1,61.5,100,79,88,90,03_Feb_2015,
17:42:19,1,50,19.1,40.8,100,79,88,90,03_Feb_2015,
17:42:24,1,50,19.1,67.5,100,79,88,90,03_Feb_2015,
17:42:29,1,50,16,64.7,100,54,78,90,03_Feb_2015,
17:42:34,1,50,16,42.9,100,54,78,90,03_Feb_2015,
17:42:39,1,50,16,63.4,100,54,78,90,03_Feb_2015,
17:42:44,1,50,19,62.5,87,86,90,78,03_Feb_2015,
17:42:49,1,50,19,N/A,87,86,90,78,03_Feb_2015,
17:42:54,1,50,19,61.7,87,86,90,78,03_Feb_2015,
17:42:59,1,50,24.3,63.3,77,70,85,69,03_Feb_2015,
17:43:04,1,50,24.3,N/A,77,70,85,69,03_Feb_2015,
17:43:09,1,50,24.3,64.2,77,70,85,69,03_Feb_2015,
17:43:14,1,50,25,66.3,74,72,85,66,03_Feb_2015,
17:43:19,1,50,25,N/A,74,72,85,66,03_Feb_2015,
17:43:24,1,50,25,66.3,74,72,85,66,03_Feb_2015,
17:43:29,1,50,33.7,65.4,68,86,90,61,03_Feb_2015,
17:43:34,1,50,33.7,40.1,68,86,90,61,03_Feb_2015,
17:43:39,1,50,33.7,62.7,68,86,90,61,03_Feb_2015,
17:43:44,1,50,30,62.6,85,72,85,76,03_Feb_2015,
17:43:49,1,50,30,N/A,85,72,85,76,03_Feb_2015,
17:43:54,1,50,30,60.5,85,72,85,76,03_Feb_2015,
17:43:59,1,50,31,63.5,90,65,83,81,03_Feb_2015,
17:44:04,1,50,31,42.2,90,65,83,81,03_Feb_2015,
17:44:09,1,50,31,65.8,90,65,83,81,03_Feb_2015,
17:44:14,1,50,35.6,58.4,93,79,88,83,03_Feb_2015,
17:44:19,1,50,35.6,N/A,93,79,88,83,03_Feb_2015,
17:44:24,1,50,35.6,61.8,93,79,88,83,03_Feb_2015,
17:44:29,1,50,35.8,61.8,100,93,94,90,03_Feb_2015,
17:44:34,1,50,35.8,N/A,100,93,94,90,03_Feb_2015,
17:44:39,1,50,35.8,60.8,100,93,94,90,03_Feb_2015,
17:44:44,1,50,43.2,62.9,97,43,74,87,03_Feb_2015,
