time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Skin Temperature,Day,DF
21:54:28,1,60,20.8,102.3,86,86,75,77,37,09_Mar_2015,
21:54:33,2,60,20.8,124.9,86,86,75,77,37,09_Mar_2015,
21:54:38,1,60,22.4,103.9,86,86,77,77,37,09_Mar_2015,
21:54:43,1,60,22.4,104.4,86,86,77,77,37,09_Mar_2015,
21:54:48,1,60,22.4,93.8,86,86,77,77,37,09_Mar_2015,
21:54:53,1,60,22.4,86.9,86,100,89,77,37,09_Mar_2015,
21:54:58,1,60,22.4,83.6,86,100,89,77,36.9,09_Mar_2015,
21:55:03,1,60,22.4,83.1,86,100,89,77,36.9,09_Mar_2015,
21:55:08,1,60,21.6,79.9,87,100,97,78,36.9,09_Mar_2015,
21:55:13,1,60,21.6,81.9,87,100,97,78,36.9,09_Mar_2015,
21:55:18,1,60,21.6,79.7,87,100,97,78,36.9,09_Mar_2015,
21:55:23,1,60,20.6,81.9,80,100,99,72,36.9,09_Mar_2015,
21:55:28,1,60,20.6,65.5,80,100,99,72,36.9,09_Mar_2015,
21:55:33,1,60,20.6,95.8,80,100,99,72,36.9,09_Mar_2015,
21:55:38,1,60,21.6,96,79,100,94,71,36.9,09_Mar_2015,
21:55:43,1,60,21.6,93,79,100,94,71,36.9,09_Mar_2015,
21:55:48,1,60,21.6,88.6,79,100,94,71,36.9,09_Mar_2015,
21:55:53,1,60,23.5,88.2,81,100,92,72,36.9,09_Mar_2015,
21:55:58,1,60,23.5,91.1,81,100,92,72,36.9,09_Mar_2015,
21:56:03,1,60,23.5,94.8,81,100,92,72,36.9,09_Mar_2015,
21:56:08,1,60,24.1,92.4,94,100,98,84,36.9,09_Mar_2015,
21:56:13,1,60,24.1,89.4,94,100,98,84,36.9,09_Mar_2015,
21:56:18,1,60,24.1,88.6,94,100,98,84,36.9,09_Mar_2015,
21:56:23,1,60,22,87.7,100,100,98,90,36.9,09_Mar_2015,
21:56:28,1,60,22,87.4,100,100,98,90,36.9,09_Mar_2015,
21:56:33,1,60,22,90.6,100,100,98,90,36.9,09_Mar_2015,
21:56:38,1,60,19.7,89.5,96,100,99,86,36.9,09_Mar_2015,
21:56:43,1,60,19.7,94.7,96,100,99,86,36.9,09_Mar_2015,
21:56:48,1,60,19.7,98.5,96,100,99,86,36.9,09_Mar_2015,
21:56:53,1,60,17.4,95.8,95,100,98,85,36.9,09_Mar_2015,
21:56:58,1,60,17.4,91.1,95,100,98,85,36.9,09_Mar_2015,
21:57:03,1,60,17.4,90.8,95,100,98,85,36.9,09_Mar_2015,
21:57:08,1,60,15.4,91.7,94,100,99,84,36.9,09_Mar_2015,
21:57:13,1,60,15.4,88.5,94,100,99,84,36.9,09_Mar_2015,
21:57:18,1,60,15.4,88.1,94,100,99,84,36.9,09_Mar_2015,
21:57:23,1,60,13.4,88.8,93,100,99,83,36.9,09_Mar_2015,
21:57:28,1,60,13.4,89,93,100,99,83,36.9,09_Mar_2015,
21:57:33,1,60,13.4,88.5,93,100,99,83,36.9,09_Mar_2015,
21:57:38,1,60,7,90.8,100,100,99,90,36.9,09_Mar_2015,
21:57:43,1,60,7,92.3,100,100,99,90,36.9,09_Mar_2015,
21:57:48,1,60,7,92.1,100,100,99,90,36.9,09_Mar_2015,
21:57:53,1,60,6.5,89.8,100,100,99,90,36.9,09_Mar_2015,
21:57:58,1,60,6.5,88.3,100,100,99,90,36.9,09_Mar_2015,
21:58:03,1,60,6.5,90,100,100,99,90,36.9,09_Mar_2015,
21:58:08,1,60,7.1,90.3,100,100,99,90,36.9,09_Mar_2015,
21:58:13,1,60,7.1,92.9,100,100,99,90,36.8,09_Mar_2015,
21:58:18,1,60,7.1,89.6,100,100,99,90,36.8,09_Mar_2015,
21:58:23,1,60,8,90.8,100,100,99,90,36.8,09_Mar_2015,
21:58:28,1,60,8,91.2,100,100,99,90,36.9,09_Mar_2015,
21:58:33,1,60,8,90.6,100,100,99,90,36.9,09_Mar_2015,
21:58:38,1,60,11,93.3,100,100,99,90,36.9,09_Mar_2015,
21:58:43,1,60,11,93.5,100,100,99,90,36.9,09_Mar_2015,
21:58:48,1,60,11,90,100,100,99,90,36.9,09_Mar_2015,
21:58:53,1,60,11,92.6,100,100,99,90,36.9,09_Mar_2015,
21:58:58,1,60,11,91.7,100,100,99,90,36.8,09_Mar_2015,
21:59:03,1,60,11,91.5,100,100,99,90,36.8,09_Mar_2015,
21:59:08,1,60,13.1,91.5,100,100,99,90,36.8,09_Mar_2015,
21:59:13,1,60,13.1,90,100,100,99,90,36.8,09_Mar_2015,
21:59:18,1,60,13.1,91.1,100,100,99,90,36.8,09_Mar_2015,
21:59:23,1,60,15.1,91.2,100,100,100,90,36.8,09_Mar_2015,
21:59:28,1,60,15.1,93.1,100,100,100,90,36.8,09_Mar_2015,
21:59:33,1,60,15.1,92.6,100,100,100,90,36.8,09_Mar_2015,
21:59:38,1,60,13,91.3,100,100,100,90,36.8,09_Mar_2015,
