time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Day,DF
12:43:50,1,40,30.8,85.8,94,96,93,84,05_Feb_2015,
12:43:55,1,40,30.8,67.9,94,96,93,84,05_Feb_2015,
12:44:00,1,40,30.8,132.1,94,96,93,84,05_Feb_2015,
12:44:05,2,40,30.8,144,89,50,64,80,05_Feb_2015,
12:44:10,2,40,30.8,N/A,89,50,64,80,05_Feb_2015,
12:44:15,2,40,30.8,N/A,89,50,64,80,05_Feb_2015,
12:44:20,2,40,30.5,179.4,80,78,46,72,05_Feb_2015,
12:44:25,2,40,30.5,N/A,80,78,46,72,05_Feb_2015,
12:44:30,2,40,30.5,N/A,80,78,46,72,05_Feb_2015,
12:44:35,2,40,35.8,N/A,70,86,34,63,05_Feb_2015,
12:44:40,2,40,35.8,N/A,70,86,34,63,05_Feb_2015,
12:44:45,2,40,35.8,N/A,70,86,34,63,05_Feb_2015,
12:44:50,2,40,35.9,N/A,73,91,36,65,05_Feb_2015,
12:44:55,1,50,35.9,N/A,73,91,36,65,05_Feb_2015,
12:45:00,1,40,35.9,N/A,73,91,36,65,05_Feb_2015,
12:45:05,2,40,35.4,N/A,77,72,28,69,05_Feb_2015,
12:45:10,1,50,35.4,120.4,77,72,28,69,05_Feb_2015,
12:45:15,2,50,35.4,N/A,77,72,28,69,05_Feb_2015,
12:45:20,2,50,34.3,157.1,83,45,26,74,05_Feb_2015,
12:45:25,1,50,34.3,154.2,83,45,26,74,05_Feb_2015,
12:45:30,1,50,34.3,94.7,83,45,26,74,05_Feb_2015,
12:45:35,1,50,30.3,75.7,85,81,61,76,05_Feb_2015,
12:45:40,1,50,30.3,80.6,85,81,61,76,05_Feb_2015,
12:45:45,1,50,30.3,78.1,85,81,61,76,05_Feb_2015,
12:45:50,1,50,29.3,73.2,83,100,88,74,05_Feb_2015,
12:45:55,1,50,29.3,63.1,83,100,88,74,05_Feb_2015,
12:46:00,1,50,29.3,74.1,83,100,88,74,05_Feb_2015,
12:46:05,1,50,28.7,102.7,82,67,80,73,05_Feb_2015,
12:46:10,1,50,28.7,88,82,67,80,73,05_Feb_2015,
12:46:15,1,40,28.7,107.3,82,67,80,73,05_Feb_2015,
12:46:20,1,40,32.9,108.3,75,44,60,67,05_Feb_2015,
12:46:25,2,40,32.9,164.1,75,44,60,67,05_Feb_2015,
12:46:30,1,40,32.9,173.2,75,44,60,67,05_Feb_2015,
12:46:35,1,50,36.7,171.4,82,77,57,73,05_Feb_2015,
12:46:40,1,50,36.7,98.4,82,77,57,73,05_Feb_2015,
12:46:45,1,50,36.7,79.7,82,77,57,73,05_Feb_2015,
12:46:50,1,50,38,79.1,81,60,55,72,05_Feb_2015,
12:46:55,1,50,38,58.7,81,60,55,72,05_Feb_2015,
12:47:00,1,50,38,76.4,81,60,55,72,05_Feb_2015,
12:47:05,1,50,39,74.9,90,78,82,81,05_Feb_2015,
12:47:10,1,50,39,61.1,90,78,82,81,05_Feb_2015,
12:47:15,1,50,39,70.4,90,78,82,81,05_Feb_2015,
12:47:20,1,50,36.6,73.7,95,77,87,85,05_Feb_2015,
12:47:25,1,50,36.6,107.3,95,77,87,85,05_Feb_2015,
12:47:30,1,50,36.6,73.7,95,77,87,85,05_Feb_2015,
12:47:35,1,50,32.9,75.7,92,77,86,82,05_Feb_2015,
12:47:40,1,50,32.9,63.2,92,77,86,82,05_Feb_2015,
12:47:45,1,50,32.9,91.5,92,77,86,82,05_Feb_2015,
12:47:50,1,50,31.6,75.8,97,95,92,87,05_Feb_2015,
12:47:55,1,50,31.6,N/A,97,95,92,87,05_Feb_2015,
12:48:00,1,50,31.6,73.9,97,95,92,87,05_Feb_2015,
12:48:05,1,50,29.8,75.3,94,94,91,84,05_Feb_2015,
12:48:10,1,50,29.8,59,94,94,91,84,05_Feb_2015,
12:48:15,1,50,29.8,76.1,94,94,91,84,05_Feb_2015,
12:48:20,1,50,28.5,74.5,87,100,95,78,05_Feb_2015,
12:48:25,1,50,28.5,85,87,100,95,78,05_Feb_2015,
12:48:30,1,50,28.5,74.8,87,100,95,78,05_Feb_2015,
12:48:35,1,50,28.6,76.7,90,100,97,81,05_Feb_2015,
12:48:40,1,50,28.6,42,90,100,97,81,05_Feb_2015,
12:48:45,1,50,28.6,75.9,90,100,97,81,05_Feb_2015,
12:48:50,1,50,29.5,77.3,82,100,95,73,05_Feb_2015,
12:48:55,1,50,29.5,71.7,82,100,95,73,05_Feb_2015,
12:49:00,1,50,29.5,77.3,82,100,95,73,05_Feb_2015,
12:49:05,1,50,30.4,78.2,83,100,93,74,05_Feb_2015,
12:49:10,1,50,30.4,46.4,83,100,93,74,05_Feb_2015,
12:49:15,1,50,30.4,72.1,83,100,93,74,05_Feb_2015,
12:49:20,1,50,31.9,74.2,87,100,94,78,05_Feb_2015,
12:49:25,1,50,31.9,N/A,87,100,94,78,05_Feb_2015,
12:49:30,1,50,31.9,73.7,87,100,94,78,05_Feb_2015,
12:49:35,1,50,31.9,75.5,85,100,95,76,05_Feb_2015,
12:49:40,1,50,31.9,44.9,85,100,95,76,05_Feb_2015,
12:49:45,1,50,31.9,72.5,85,100,95,76,05_Feb_2015,
12:49:50,1,50,29,73.9,91,100,95,81,05_Feb_2015,
12:49:55,1,50,29,47.8,91,100,95,81,05_Feb_2015,
12:50:00,1,50,29,75,91,100,95,81,05_Feb_2015,
12:50:05,1,50,30.3,75.6,86,95,93,77,05_Feb_2015,
12:50:10,1,50,30.3,46.6,86,95,93,77,05_Feb_2015,
12:50:15,1,50,30.3,74.1,86,95,93,77,05_Feb_2015,
12:50:20,1,50,27.8,76.2,89,100,95,80,05_Feb_2015,
12:50:25,1,50,27.8,74.2,89,100,95,80,05_Feb_2015,
12:50:30,1,50,27.8,76.9,89,100,95,80,05_Feb_2015,
12:50:35,1,50,25.6,75,78,100,97,70,05_Feb_2015,
12:50:40,1,50,25.6,59.4,78,100,97,70,05_Feb_2015,
12:50:45,1,50,25.6,77.5,78,100,97,70,05_Feb_2015,
12:50:50,1,50,22.8,98.4,75,95,93,67,05_Feb_2015,
12:50:55,1,50,22.8,61.3,75,95,93,67,05_Feb_2015,
12:51:00,1,50,22.8,73.4,75,95,93,67,05_Feb_2015,
12:51:05,1,50,21.3,73,52,89,89,46,05_Feb_2015,
12:51:10,1,50,21.3,58.5,52,89,89,46,05_Feb_2015,
12:51:15,1,50,21.3,74.7,52,89,89,46,05_Feb_2015,
12:51:20,1,50,24,76.8,53,100,97,47,05_Feb_2015,
12:51:25,1,50,24,57.2,53,100,97,47,05_Feb_2015,
12:51:30,1,50,24,77.2,53,100,97,47,05_Feb_2015,
12:51:35,1,50,30.9,77.1,62,100,96,55,05_Feb_2015,
12:51:40,1,50,30.9,62.2,62,100,96,55,05_Feb_2015,
12:51:45,1,50,30.9,78.8,62,100,96,55,05_Feb_2015,
12:51:50,1,50,33.1,79.4,78,100,96,70,05_Feb_2015,
12:51:55,1,50,33.1,68.8,78,100,96,70,05_Feb_2015,
12:52:00,1,50,33.1,75.8,78,100,96,70,05_Feb_2015,
12:52:05,1,50,36,76.1,89,100,95,80,05_Feb_2015,
