time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Day,DF
12:51:17,1,30,28.2,160.9,81,81,71,72,04_Feb_2015,
12:51:22,1,30,28.2,161.1,81,81,71,72,04_Feb_2015,
12:51:27,2,10,25.3,N/A,93,81,36,83,04_Feb_2015,
12:51:32,2,10,25.3,N/A,93,81,36,83,04_Feb_2015,
12:51:37,1,10,25.3,N/A,93,81,36,83,04_Feb_2015,
12:51:42,2,10,31.3,N/A,79,83,33,71,04_Feb_2015,
12:51:47,2,10,31.3,N/A,79,83,33,71,04_Feb_2015,
12:51:52,2,10,31.3,N/A,79,83,33,71,04_Feb_2015,
12:51:57,2,10,34.8,135.3,87,73,29,78,04_Feb_2015,
12:52:02,1,10,34.8,133,87,73,29,78,04_Feb_2015,
12:52:07,1,10,34.8,175,87,73,29,78,04_Feb_2015,
12:52:12,2,10,37.9,N/A,77,72,36,69,04_Feb_2015,
12:52:17,2,10,37.9,N/A,77,72,36,69,04_Feb_2015,
12:52:22,2,10,37.9,179.9,77,72,36,69,04_Feb_2015,
12:52:27,1,10,43.7,N/A,71,75,33,63,04_Feb_2015,
12:52:32,2,10,43.7,N/A,71,75,33,63,04_Feb_2015,
12:52:37,2,10,43.7,N/A,71,75,33,63,04_Feb_2015,
12:52:42,2,10,42,N/A,82,89,35,73,04_Feb_2015,
12:52:47,1,10,42,N/A,82,89,35,73,04_Feb_2015,
12:52:52,1,10,42,141.2,82,89,35,73,04_Feb_2015,
12:52:57,1,10,42.4,172.7,78,59,23,70,04_Feb_2015,
12:53:02,1,10,42.4,N/A,78,59,23,70,04_Feb_2015,
12:53:07,1,10,42.4,93.6,78,59,23,70,04_Feb_2015,
12:53:12,2,10,42.8,N/A,88,73,42,79,04_Feb_2015,
12:53:17,2,10,42.8,N/A,88,73,42,79,04_Feb_2015,
12:53:22,2,10,42.8,N/A,88,73,42,79,04_Feb_2015,
12:53:27,1,20,42.4,N/A,86,81,40,77,04_Feb_2015,
12:53:32,1,10,42.4,N/A,86,81,40,77,04_Feb_2015,
12:53:37,1,10,42.4,N/A,86,81,40,77,04_Feb_2015,
12:53:42,2,10,40.3,N/A,91,89,35,81,04_Feb_2015,
12:53:47,1,10,40.3,160.5,91,89,35,81,04_Feb_2015,
12:53:52,2,20,40.3,161.9,91,89,35,81,04_Feb_2015,
12:53:57,1,10,39.7,N/A,80,72,28,72,04_Feb_2015,
12:54:02,1,10,39.7,125,80,72,28,72,04_Feb_2015,
12:54:07,1,10,39.7,120.5,80,72,28,72,04_Feb_2015,
12:54:12,1,10,44,123.4,72,66,49,64,04_Feb_2015,
12:54:17,1,10,44,67.6,72,66,49,64,04_Feb_2015,
12:54:22,1,10,44,93.4,72,66,49,64,04_Feb_2015,
12:54:27,1,10,44.7,85.8,82,22,52,73,04_Feb_2015,
12:54:32,1,10,44.7,N/A,82,22,52,73,04_Feb_2015,
12:54:37,1,10,44.7,71,82,22,52,73,04_Feb_2015,
12:54:42,1,10,46.2,82.2,80,83,74,72,04_Feb_2015,
12:54:47,1,10,46.2,70.3,80,83,74,72,04_Feb_2015,
12:54:52,1,10,46.2,111.6,80,83,74,72,04_Feb_2015,
12:54:57,1,10,40.2,82.5,87,28,49,78,04_Feb_2015,
12:55:02,1,10,40.2,86.4,87,28,49,78,04_Feb_2015,
12:55:07,1,10,40.2,55.2,87,28,49,78,04_Feb_2015,
12:55:12,1,10,32.5,82.6,92,53,69,82,04_Feb_2015,
12:55:17,1,10,32.5,63.2,92,53,69,82,04_Feb_2015,
12:55:22,1,10,32.5,80.6,92,53,69,82,04_Feb_2015,
12:55:27,1,10,29.8,78.9,91,11,59,81,04_Feb_2015,
12:55:32,1,10,29.8,40.1,91,11,59,81,04_Feb_2015,
12:55:37,1,10,29.8,84.4,91,11,59,81,04_Feb_2015,
12:55:42,1,10,29.8,83.2,94,59,78,84,04_Feb_2015,
12:55:47,1,10,29.8,74.6,94,59,78,84,04_Feb_2015,
12:55:52,1,10,29.8,83.1,94,59,78,84,04_Feb_2015,
12:55:57,1,10,33.5,80.8,93,50,73,83,04_Feb_2015,
12:56:02,1,10,33.5,58.1,93,50,73,83,04_Feb_2015,
12:56:07,1,10,33.5,81.4,93,50,73,83,04_Feb_2015,
12:56:12,1,10,33,81.2,99,100,94,89,04_Feb_2015,
12:56:17,1,10,33,62.3,99,100,94,89,04_Feb_2015,
12:56:22,1,10,33,80.6,99,100,94,89,04_Feb_2015,
12:56:27,1,10,33.8,79.3,100,74,84,90,04_Feb_2015,
12:56:32,1,10,33.8,61.3,100,74,84,90,04_Feb_2015,
12:56:37,1,10,33.8,104.3,100,74,84,90,04_Feb_2015,
12:56:42,1,10,31,80,100,72,82,90,04_Feb_2015,
12:56:47,1,10,31,73.6,100,72,82,90,04_Feb_2015,
12:56:52,1,10,31,96.8,100,72,82,90,04_Feb_2015,
12:56:57,1,10,28.2,95.6,97,64,76,87,04_Feb_2015,
12:57:02,1,10,28.2,56.9,97,64,76,87,04_Feb_2015,
12:57:07,1,10,28.2,94.9,97,64,76,87,04_Feb_2015,
12:57:12,1,10,25.6,80.3,86,69,79,77,04_Feb_2015,
12:57:17,1,10,25.6,57.5,86,69,79,77,04_Feb_2015,
12:57:22,1,10,25.6,81.3,86,69,79,77,04_Feb_2015,
12:57:27,1,10,20.7,94.2,73,95,90,65,04_Feb_2015,
12:57:32,1,10,20.7,55.2,73,95,90,65,04_Feb_2015,
12:57:37,1,10,20.7,85.4,73,95,90,65,04_Feb_2015,
12:57:42,1,10,18.7,97.8,60,80,83,54,04_Feb_2015,
12:57:47,1,10,18.7,54.6,60,80,83,54,04_Feb_2015,
12:57:52,1,10,18.7,52.8,60,80,83,54,04_Feb_2015,
12:57:57,1,10,19.1,87.3,58,65,77,52,04_Feb_2015,
12:58:02,1,10,19.1,56.4,58,65,77,52,04_Feb_2015,
12:58:07,1,10,19.1,85.8,58,65,77,52,04_Feb_2015,
12:58:12,1,10,22.5,84,68,90,88,61,04_Feb_2015,
12:58:17,1,10,22.5,58.1,68,90,88,61,04_Feb_2015,
12:58:22,1,10,22.5,90.9,68,90,88,61,04_Feb_2015,
12:58:27,1,10,26,90.7,81,80,86,72,04_Feb_2015,
12:58:32,1,10,26,60.8,81,80,86,72,04_Feb_2015,
12:58:37,1,10,26,85.2,81,80,86,72,04_Feb_2015,
12:58:42,1,10,29,85.5,89,90,89,80,04_Feb_2015,
12:58:47,1,10,29,78.7,89,90,89,80,04_Feb_2015,
12:58:52,1,10,29,84,89,90,89,80,04_Feb_2015,
12:58:57,1,10,29.8,86.6,94,100,93,84,04_Feb_2015,
12:59:02,1,10,29.8,55,94,100,93,84,04_Feb_2015,
12:59:07,1,10,29.8,83.2,94,100,93,84,04_Feb_2015,
12:59:12,1,10,24.6,81.8,100,100,93,90,04_Feb_2015,
12:59:17,1,10,24.6,47.4,100,100,93,90,04_Feb_2015,
12:59:22,1,10,24.6,83.6,100,100,93,90,04_Feb_2015,
12:59:27,1,10,20.2,81.9,100,100,94,90,04_Feb_2015,
12:59:32,1,10,20.2,45.3,100,100,94,90,04_Feb_2015,
12:59:37,1,10,20.2,82.4,100,100,94,90,04_Feb_2015,
12:59:42,1,10,17.4,81.1,86,95,90,77,04_Feb_2015,
12:59:47,1,10,17.4,57,86,95,90,77,04_Feb_2015,
12:59:52,1,10,17.4,81.9,86,95,90,77,04_Feb_2015,
12:59:57,1,10,16.9,81.1,77,100,94,69,04_Feb_2015,
13:00:02,1,10,16.9,45.2,77,100,94,69,04_Feb_2015,
13:00:07,1,10,16.9,79.3,77,100,94,69,04_Feb_2015,
13:00:12,1,10,16.4,84.2,69,100,94,62,04_Feb_2015,
13:00:17,1,10,16.4,54.7,69,100,94,62,04_Feb_2015,
13:00:22,1,10,16.4,82.1,69,100,94,62,04_Feb_2015,
13:00:27,2,10,19.4,N/A,75,94,77,67,04_Feb_2015,
13:00:32,1,10,19.4,135.4,75,94,77,67,04_Feb_2015,
13:00:37,1,10,19.4,95.9,75,94,77,67,04_Feb_2015,
13:00:42,1,10,23,106,94,68,63,84,04_Feb_2015,
13:00:47,1,10,23,103,94,68,63,84,04_Feb_2015,
13:00:52,1,10,23,117.6,94,68,63,84,04_Feb_2015,
13:00:57,2,10,24,157,96,62,62,86,04_Feb_2015,
13:01:02,1,10,24,60.6,96,62,62,86,04_Feb_2015,
13:01:07,1,10,24,83.1,96,62,62,86,04_Feb_2015,
13:01:12,1,10,30,109.2,84,72,66,75,04_Feb_2015,
13:01:17,1,10,30,70,84,72,66,75,04_Feb_2015,
13:01:22,1,10,30,127.2,84,72,66,75,04_Feb_2015,
13:01:27,1,10,30.8,81.6,80,82,79,72,04_Feb_2015,
13:01:32,1,10,30.8,N/A,80,82,79,72,04_Feb_2015,
13:01:37,1,10,30.8,80.4,80,82,79,72,04_Feb_2015,
13:01:42,1,10,27.3,77.8,77,69,76,69,04_Feb_2015,
13:01:47,1,10,27.3,44.8,77,69,76,69,04_Feb_2015,
13:01:52,1,10,27.3,81,77,69,76,69,04_Feb_2015,
13:01:57,1,10,28.7,80.4,74,84,87,66,04_Feb_2015,
13:02:02,1,10,28.7,59.4,74,84,87,66,04_Feb_2015,
13:02:07,1,10,28.7,90.5,74,84,87,66,04_Feb_2015,
13:02:12,1,10,29.6,94.7,88,81,83,79,04_Feb_2015,
13:02:17,1,10,29.6,63.9,88,81,83,79,04_Feb_2015,
13:02:22,1,10,29.6,107.5,88,81,83,79,04_Feb_2015,
13:02:27,1,10,31,98.5,97,60,73,87,04_Feb_2015,
13:02:32,1,10,31,70.5,97,60,73,87,04_Feb_2015,
13:02:37,1,10,31,78.2,97,60,73,87,04_Feb_2015,
13:02:42,1,10,33,106.7,97,48,65,87,04_Feb_2015,
13:02:47,1,10,33,42.9,97,48,65,87,04_Feb_2015,
13:02:52,1,10,33,79.8,97,48,65,87,04_Feb_2015,
13:02:57,1,10,40.2,112.8,88,74,76,79,04_Feb_2015,
13:03:02,1,10,40.2,47.9,88,74,76,79,04_Feb_2015,
13:03:07,1,10,40.2,80.9,88,74,76,79,04_Feb_2015,
13:03:12,1,10,36.9,118.7,85,96,85,76,04_Feb_2015,
13:03:17,1,10,36.9,60.5,85,96,85,76,04_Feb_2015,
13:03:22,1,10,36.9,78.4,85,96,85,76,04_Feb_2015,
13:03:27,1,10,34.6,79,81,100,91,72,04_Feb_2015,
13:03:32,1,10,34.6,42.1,81,100,91,72,04_Feb_2015,
13:03:37,1,10,34.6,80,81,100,91,72,04_Feb_2015,
13:03:42,1,10,35.5,80.3,73,100,95,65,04_Feb_2015,
13:03:47,1,10,35.5,56.5,73,100,95,65,04_Feb_2015,
13:03:52,1,10,35.5,76.3,73,100,95,65,04_Feb_2015,
13:03:57,1,10,33.7,78.2,78,100,94,70,04_Feb_2015,
13:04:02,1,10,33.7,46,78,100,94,70,04_Feb_2015,
13:04:07,1,10,33.7,128,78,100,94,70,04_Feb_2015,
13:04:12,1,10,33,118.5,79,52,65,71,04_Feb_2015,
13:04:17,1,10,33,N/A,79,52,65,71,04_Feb_2015,
13:04:22,1,10,33,N/A,79,52,65,71,04_Feb_2015,
13:04:27,1,10,35.6,97.7,74,65,56,66,04_Feb_2015,
13:04:32,1,10,35.6,40.3,74,65,56,66,04_Feb_2015,
13:04:37,1,10,35.6,60.8,74,65,56,66,04_Feb_2015,
13:04:42,1,10,36.3,87.2,86,63,61,77,04_Feb_2015,
13:04:47,1,10,36.3,154.3,86,63,61,77,04_Feb_2015,
13:04:52,1,10,36.3,91,86,63,61,77,04_Feb_2015,
13:04:57,1,10,34,105.2,84,66,67,75,04_Feb_2015,
13:05:02,1,10,34,58.6,84,66,67,75,04_Feb_2015,
13:05:07,1,10,34,86.1,84,66,67,75,04_Feb_2015,
13:05:12,1,10,33.7,78.2,83,100,85,74,04_Feb_2015,
13:05:17,1,10,33.7,61.3,83,100,85,74,04_Feb_2015,
13:05:22,1,10,33.7,81.1,83,100,85,74,04_Feb_2015,
13:05:27,1,10,32,111.9,82,65,77,73,04_Feb_2015,
13:05:32,1,10,32,107.3,82,65,77,73,04_Feb_2015,
13:05:37,1,10,32,55.4,82,65,77,73,04_Feb_2015,
13:05:42,1,10,30.5,80.5,85,85,82,76,04_Feb_2015,
13:05:47,1,10,30.5,57.1,85,85,82,76,04_Feb_2015,
13:05:52,1,10,30.5,79.9,85,85,82,76,04_Feb_2015,
13:05:57,1,10,30.5,79.3,84,100,92,75,04_Feb_2015,
13:06:02,1,10,30.5,69.8,84,100,92,75,04_Feb_2015,
13:06:07,1,10,30.5,76.7,84,100,92,75,04_Feb_2015,
13:06:12,1,10,29.6,79.3,77,95,93,69,04_Feb_2015,
13:06:17,1,10,29.6,60,77,95,93,69,04_Feb_2015,
13:06:22,1,10,29.6,78.3,77,95,93,69,04_Feb_2015,
13:06:27,1,10,31.3,81.2,80,100,96,72,04_Feb_2015,
13:06:32,1,10,31.3,61.6,80,100,96,72,04_Feb_2015,
13:06:37,1,10,31.3,81.2,80,100,96,72,04_Feb_2015,
13:06:42,1,10,30,80.7,81,90,91,72,04_Feb_2015,
13:06:47,1,10,30,80.4,81,90,91,72,04_Feb_2015,
13:06:52,1,10,30,80.9,81,90,91,72,04_Feb_2015,
13:06:57,1,10,29.6,80.7,84,100,97,75,04_Feb_2015,
13:07:02,1,10,29.6,56.4,84,100,97,75,04_Feb_2015,
13:07:07,1,10,29.6,82.9,84,100,97,75,04_Feb_2015,
13:07:12,1,10,28,80.7,100,100,96,90,04_Feb_2015,
13:07:17,1,10,28,N/A,100,100,96,90,04_Feb_2015,
13:07:22,1,10,28,82.7,100,100,96,90,04_Feb_2015,
13:07:27,1,10,27.2,77.5,100,77,84,90,04_Feb_2015,
13:07:32,1,10,27.2,67.1,100,77,84,90,04_Feb_2015,
13:07:37,1,10,27.2,81.8,100,77,84,90,04_Feb_2015,
13:07:42,1,10,29.7,80.1,97,100,94,87,04_Feb_2015,
13:07:47,1,10,29.7,55.7,97,100,94,87,04_Feb_2015,
13:07:52,1,10,29.7,81.1,97,100,94,87,04_Feb_2015,
13:07:57,1,10,32.4,80.6,96,100,95,86,04_Feb_2015,
